Product,N,P,K,Ca,Mg,S,Fe,Cu,Mn,B,Zn,Weight in lbs,Cost / Bag,Cost / 1 lb N,SGN,Product Link,Label,Sources,Urea Nitrogen,Ammoniacal Nitrogen,Water Insoluble Nitrogen,Other water Soluble,Slowly Available From
19-19-19,19.00%,19.00%,19.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$59.99 ,$6.31 ,,,,,,,,,
Lesco Starter 18-24-12,10.00%,18.00%,10.00%,0.00%,0.00%,1.40%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$59.99 ,$12.00 ,,,,,,,,,
Calcitic Lime,0.00%,0.50%,0.00%,35.00%,2.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$59.99 ,,,,,,,,,,
Lesco 20-20-20 Soluble,20.00%,20.00%,20.00%,21.00%,11.00%,0.00%,0.10%,0.05%,0.00%,0.02%,0.00%,50,$59.99 ,$6.00 ,,,,,,,,,
Gypsum,0.00%,0.00%,0.00%,20.00%,0.00%,16.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$59.99 ,,,,,,,,,,
Tiger Sul,0.00%,0.00%,0.00%,0.00%,0.00%,90.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$50.00 ,,,,,,,,,,
XGRN 8-1-8,10.00%,0.00%,20.00%,1.00%,0.00%,0.00%,4.00%,0.00%,0.00%,0.00%,0.00%,50,$59.99 ,$12.00 ,,,,,,,,,
Lesco 14-2-14,14.00%,2.00%,14.00%,0.00%,0.00%,10.00%,2.40%,0.00%,2.00%,0.00%,0.00%,50,$59.99 ,$8.57 ,,,,,,,,,
Lesco 14-14-14,14.00%,14.00%,14.00%,0.00%,0.00%,4.69%,0.45%,0.00%,0.45%,0.00%,0.00%,50,$59.99 ,$8.57 ,,,,,,,,,
Test,10.00%,2.00%,5.00%,0.00%,0.00%,17.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40,$59.99 ,$15.00 ,,,,,,,,,
EC Grow - 18-0-18 33%Nutralene 33%Amsul SOP Micro - SGN90 - 50 LB BAG,18.00%,0.00%,18.00%,0.00%,0.00%,12.80%,0.13%,0.06%,0.06%,0.03%,0.06%,50,$54.56 ,$6.06 ,90,https://www.reinders.com/products/545-9110/,https://assetcloud01.roccommerce.net/files/_reinders/10/7/4/545-9110-label.pdf,"Urea, Ammonium Sulfate, Methylene Urea, Sulfate of Potash, Sodium Borate, Copper Oxide, Copper Sulfate, Iron Oxide, Iron Sulfate, Manganese Oxide, Maganese Sulfate, Zinc Oxide and Zinc sulfate. Sulfur from SOP AMS",7.1,5.9,5.9,3.1*,*Methylene Ureas
EC Grow - 17-0-17 65%Nutralene - SOP Micros - SGN90 - 50 LB BAG,17.00%,0.00%,17.00%,0.00%,0.00%,5.70%,0.13%,0.06%,0.06%,0.03%,0.06%,50,$56.54 ,$6.65 ,90,https://www.reinders.com/products/370-9020/,https://assetcloud01.roccommerce.net/files/_reinders/2/10/5/370-9020-label.pdf,"Urea, Methylene Urea, Sulfate of Potash, Sodium Borate, Copper Oxide, Copper Sulfate, Iron Oxide, Iron Sulfate, Manganese Oxide, Manganese Sulfate, Zinc Oxide and Zinc Sulfate. Sulfur from SOP",7.8,0,0,5.8*,*Methylene Ureas
EC Grow - 18-3-18 50%MU MAP SOP Micros - SGN90 - 50 LB BAG,18.00%,3.00%,18.00%,0.00%,0.00%,6.00%,0.13%,0.06%,0.06%,0.03%,0.06%,50,$56.54 ,$6.28 ,90,https://www.reinders.com/products/545-9030/,https://assetcloud01.roccommerce.net/files/_reinders/3/9/7/545-9030-label.pdf,"Urea, Methylene Urea, Monoammonium Phosphate, Sulfate of Potash, Sodium Borate, Copper Oxide, Copper Sulfate, Iron Oxide, Iron Sulfate, Manganese Oxide, Manganese Sulfate, Zinc Oxide, and Zinc Sulfate. Sulfur from sulfate of potash.",9.8,0.7,0.7,4.7,*7.5% Methylene Ureas
EC Grow - 23-0-8 70%RXN 30%AMS SOP - SGN 150 - 50 LB BAG,23.00%,0.00%,8.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$35.97 ,$3.13 ,150,https://www.reinders.com/products/rp23-0-8/,https://assetcloud01.roccommerce.net/files/_reinders/1/6/9/rp23-0-8-label.pdf,"Urea, Ammonium Sulfate and Sulfate of Potash",16,7,7,,
Reinders - 22-0-14 100%STN - SOP DDP FE Mini - 50 LB BAG,22.00%,0.00%,14.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$43.45 ,$3.95 ,,https://www.reinders.com/products/370-6180/,https://assetcloud01.roccommerce.net/files/_reinders/1/5/9/370-6180-label.pdf,"Urea, Sulfate of Potash",22,,,,
EC Grow - 18-4-18 33%Nutralene 33%Amaul SOP Micro - SGN90 - 50 LB BAG,18.00%,4.00%,18.00%,0.00%,0.00%,0.00%,0.13%,0.06%,0.06%,0.03%,0.06%,50,$55.11 ,$6.12 ,90,https://www.reinders.com/products/545-9040/,https://assetcloud01.roccommerce.net/files/_reinders/10/1/3/545-9040-label.pdf,"Urea, Methylene Urea, Monoammonium Phosphate, Sulfate of Potash, Ammonium Sulfate, Sodium Borate, Copper Oxide, Copper Sulfate, Iron Oxide, Iron Sulfate, Manganese Oxide, Manganese Sulfate, Zinc Oxide, and Zinc Sulfate",6.3,6.8,6.8,3.1,*4.9% Methylene Ureas
Reinders - 22-0-10 80% Duration SOP - 50 LB Bag,22.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$49.72 ,$4.52 ,,https://www.reinders.com/products/22-0-10-80-duration-sop-50-lb-bag/,https://assetcloud01.roccommerce.net/files/_reinders/8/8/10/370-6220-label.pdf,"Polymer Coated Urea, Urea and Sulfate of Potash",22*,,,,*17.2% polymer coated urea
EC Grow - 10-18-20 55%MU SOP - SGN 90 - 50 LB BAG,10.00%,18.00%,20.00%,0.00%,0.00%,0.00%,0.13%,0.06%,0.06%,0.03%,0.06%,50,$59.51 ,$11.90 ,90,https://www.reinders.com/products/ec-grow-10-18-20-55-mu-sop-sgn-90-50-lb-bag/,https://assetcloud01.roccommerce.net/files/_reinders/9/8/10/545-2240-label.pdf,"Methylene Urea, Monoammonium Phosphate, Sulfate of Potash, Sodium Borate, Copper Oxide, Copper Sulfate, Iron Oxide, Iron Sulfate, Manganese Oxide, Manganese Sulfate, Zinc Oxide and Zinc Sulfate.",0.6,4.5,4.5,2.3*,*Methylene Ureas
EC Grow - 23-0-15 70% RxN 30% AmSul SOP Mini - 50 LB Bag,23.00%,0.00%,15.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$39.27 ,$3.41 ,,https://www.reinders.com/products/ec-grow-23-0-15-70-rxn-30-amsul-sop-mini-50-lb-bag/,https://assetcloud01.roccommerce.net/files/_reinders/8/1/7/370-6110-label.pdf,"Urea, Sulfate of Potash and Ammonium Sulfate",16.1,6.9,6.9,,
